time,charles,yvonne,jonathan,christina,95585C5C-C1C1-4612-9836-BFC68B0DC36F,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-29 15:51:11,0,0,0,0,0,0
2014-04-29 15:51:12,2,2,2,0,0,0
2014-04-29 15:51:13,2,2,2,0,0,0
2014-04-29 15:51:14,8,3,4,0,0,0
2014-04-29 15:51:15,5,3,4,2,0,0
2014-04-29 15:51:16,5,3,4,2,0,0
2014-04-29 15:51:17,7,3,4,2,0,0
2014-04-29 15:51:18,7,3,4,2,0,0
2014-04-29 15:51:19,5,2,4,2,0,0
2014-04-29 15:51:20,5,2,4,3,0,0
2014-04-29 15:51:21,3,2,4,2,0,0
2014-04-29 15:51:22,3,2,4,2,0,0
2014-04-29 15:51:23,4,2,8,2,0,0
2014-04-29 15:51:24,3,2,3,2,0,0
2014-04-29 15:51:25,3,2,3,0,0,0
2014-04-29 15:51:26,4,2,3,0,0,0
2014-04-29 15:51:27,8,2,3,0,0,0
2014-04-29 15:51:28,8,2,4,2,0,0
2014-04-29 15:51:29,4,2,7,4,0,0
2014-04-29 15:51:30,4,2,5,7,0,0
2014-04-29 15:51:31,3,2,7,7,0,0
2014-04-29 15:51:32,3,2,7,3,0,0
2014-04-29 15:51:33,3,2,7,3,0,0
2014-04-29 15:51:34,3,2,7,1,0,0
2014-04-29 15:51:35,4,2,7,1,0,0
2014-04-29 15:51:36,4,4,6,1,0,0
2014-04-29 15:51:37,4,4,5,3,0,0
2014-04-29 15:51:38,4,4,5,3,0,0
2014-04-29 15:51:39,4,4,5,2,0,0
2014-04-29 15:51:40,4,4,5,3,0,0
2014-04-29 15:51:41,4,2,5,3,0,0
2014-04-29 15:51:42,7,4,5,3,0,0
2014-04-29 15:51:43,6,4,5,3,0,0
2014-04-29 15:51:44,0,4,5,3,0,0
2014-04-29 15:51:45,0,4,5,3,0,0
2014-04-29 15:51:46,0,4,5,3,0,0
2014-04-29 15:51:47,0,3,5,3,0,0
2014-04-29 15:51:48,0,4,5,3,0,0
2014-04-29 15:51:49,0,4,2,2,0,0
2014-04-29 15:51:50,2,4,0,2,0,0
